Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Moong(Green Gram),2016,Summer     ,Uttarakhand,3.0,3.0,1580.9,459.75,1.05,1.0
Moth,2016,Kharif     ,Uttarakhand,8.0,3.0,1580.9,1226.0,2.8,0.38
Onion,2016,Whole Year ,Uttarakhand,3557.0,29892.0,1580.9,545110.25,1244.95,8.4
Other  Rabi pulses,2016,Rabi       ,Uttarakhand,19.0,15.0,1580.9,2911.75,6.65,0.79
Other Cereals,2016,Kharif     ,Uttarakhand,1488.0,726.0,1580.9,228036.0,520.8,0.49
Other Cereals,2016,Rabi       ,Uttarakhand,798.0,678.0,1580.9,122293.5,279.3,0.85
Other Kharif pulses,2016,Kharif     ,Uttarakhand,12202.0,11329.0,1580.9,1869956.5,4270.7,0.93
Other Summer Pulses,2016,Summer     ,Uttarakhand,12.0,7.0,1580.9,1839.0,4.2,0.58
Peas & beans (Pulses),2016,Rabi       ,Uttarakhand,4232.0,4149.0,1580.9,648554.0,1481.2,0.98
Potato,2016,Kharif     ,Uttarakhand,6583.0,55540.0,1580.9,1008844.75,2304.05,8.44
Potato,2016,Rabi       ,Uttarakhand,5688.0,68184.0,1580.9,871686.0,1990.8,11.99
Ragi,2016,Kharif     ,Uttarakhand,106365.0,157402.0,1580.9,16300436.25,37227.75,1.48
Rapeseed &Mustard,2016,Rabi       ,Uttarakhand,13503.0,11534.0,1580.9,2069334.75,4726.05,0.85
Rice,2016,Kharif     ,Uttarakhand,251498.0,582720.0,1580.9,38542068.5,88024.3,2.32
Rice,2016,Summer     ,Uttarakhand,14703.0,55577.0,1580.9,2253234.75,5146.05,3.78
Sesamum,2016,Kharif     ,Uttarakhand,1864.0,544.0,1580.9,285658.0,652.4,0.29
Small millets,2016,Kharif     ,Uttarakhand,57467.0,78469.0,1580.9,8806817.75,20113.45,1.37
Soyabean,2016,Kharif     ,Uttarakhand,11431.0,13612.0,1580.9,1751800.75,4000.85,1.19
Sugarcane,2016,Whole Year ,Uttarakhand,91995.0,5445379.0,1580.9,14098233.75,32198.25,59.19
Sunflower,2016,Kharif     ,Uttarakhand,7.0,4.0,1580.9,1072.75,2.45,0.57
Tobacco,2016,Whole Year ,Uttarakhand,9.0,17.0,1580.9,1379.25,3.15,1.89
Turmeric,2016,Whole Year ,Uttarakhand,855.0,1749.0,1580.9,131028.75,299.25,2.05
Urad,2016,Kharif     ,Uttarakhand,12481.0,10194.0,1580.9,1912713.25,4368.35,0.82
Urad,2016,Summer     ,Uttarakhand,92.0,53.0,1580.9,14099.0,32.2,0.58
Wheat,2016,Rabi       ,Uttarakhand,339572.0,891700.0,1580.9,52039409.0,118850.2,2.63
other oilseeds,2016,Kharif     ,Uttarakhand,14.0,10.0,1580.9,2145.5,4.9,0.71
other oilseeds,2016,Rabi       ,Uttarakhand,495.0,317.0,1580.9,75858.75,173.25,0.64
Arhar/Tur,2017,Kharif     ,Uttarakhand,3459.0,3322.0,1475.8,544584.96,1314.42,0.96
Barley,2017,Rabi       ,Uttarakhand,19216.0,25480.0,1475.8,3025367.04,7302.08,1.33
Garlic,2017,Whole Year ,Uttarakhand,4205.0,29163.0,1475.8,662035.2,1597.9,6.94
Gram,2017,Rabi       ,Uttarakhand,530.0,440.0,1475.8,83443.2,201.4,0.83
Groundnut,2017,Kharif     ,Uttarakhand,805.0,1109.0,1475.8,126739.2,305.9,1.38
Horse-gram,2017,Kharif     ,Uttarakhand,12728.0,10555.0,1475.8,2003896.32,4836.64,0.83
Maize,2017,Kharif     ,Uttarakhand,20806.0,42563.0,1475.8,3275696.64,7906.28,2.05
Maize,2017,Summer     ,Uttarakhand,66.0,96.0,1475.8,10391.04,25.08,1.45
Masoor,2017,Rabi       ,Uttarakhand,9500.0,6582.0,1475.8,1495680.0,3610.0,0.69
Moong(Green Gram),2017,Kharif     ,Uttarakhand,15.0,8.0,1475.8,2361.6,5.7,0.53
Moong(Green Gram),2017,Summer     ,Uttarakhand,6.0,4.0,1475.8,944.64,2.28,0.67
Moth,2017,Kharif     ,Uttarakhand,9.0,5.0,1475.8,1416.96,3.42,0.56
Onion,2017,Whole Year ,Uttarakhand,3499.0,56138.0,1475.8,550882.56,1329.62,16.04
Other  Rabi pulses,2017,Rabi       ,Uttarakhand,27.0,22.0,1475.8,4250.88,10.26,0.81
Other Cereals,2017,Kharif     ,Uttarakhand,581.0,315.0,1475.8,91472.64,220.78,0.54
Other Cereals,2017,Rabi       ,Uttarakhand,786.0,591.0,1475.8,123747.84,298.68,0.75
Other Kharif pulses,2017,Kharif     ,Uttarakhand,11774.0,12623.0,1475.8,1853698.56,4474.12,1.07
Peas & beans (Pulses),2017,Rabi       ,Uttarakhand,4348.0,4095.0,1475.8,684549.12,1652.24,0.94
Potato,2017,Kharif     ,Uttarakhand,7861.0,79562.0,1475.8,1237635.84,2987.18,10.12
Potato,2017,Rabi       ,Uttarakhand,6141.0,80400.0,1475.8,966839.04,2333.58,13.09
Ragi,2017,Kharif     ,Uttarakhand,101504.0,138836.0,1475.8,15980789.76,38571.52,1.37
Rapeseed &Mustard,2017,Rabi       ,Uttarakhand,13592.0,11126.0,1475.8,2139924.48,5164.96,0.82
Rice,2017,Kharif     ,Uttarakhand,246539.0,620027.0,1475.8,38815100.16,93684.82,2.51
Rice,2017,Summer     ,Uttarakhand,13953.0,44845.0,1475.8,2196760.32,5302.14,3.21
Sesamum,2017,Kharif     ,Uttarakhand,1888.0,563.0,1475.8,297246.72,717.44,0.3
Small millets,2017,Kharif     ,Uttarakhand,53160.0,70393.0,1475.8,8369510.4,20200.8,1.32
Soyabean,2017,Kharif     ,Uttarakhand,10537.0,12759.0,1475.8,1658945.28,4004.06,1.21
Sugarcane,2017,Whole Year ,Uttarakhand,91618.0,6385778.0,1475.8,14424337.92,34814.84,69.7
Tobacco,2017,Whole Year ,Uttarakhand,5.0,10.0,1475.8,787.2,1.9,2.0
Turmeric,2017,Whole Year ,Uttarakhand,800.0,1804.0,1475.8,125952.0,304.0,2.25
Urad,2017,Kharif     ,Uttarakhand,12884.0,9838.0,1475.8,2028456.96,4895.92,0.76
Urad,2017,Summer     ,Uttarakhand,97.0,66.0,1475.8,15271.68,36.86,0.68
Wheat,2017,Rabi       ,Uttarakhand,330401.0,929884.0,1475.8,52018333.44,125552.38,2.81
other oilseeds,2017,Kharif     ,Uttarakhand,34.0,24.0,1475.8,5352.96,12.92,0.71
other oilseeds,2017,Rabi       ,Uttarakhand,333.0,168.0,1475.8,52427.52,126.54,0.5
Arhar/Tur,2018,Kharif     ,Uttarakhand,3199.0,2571.0,1373.0,518877.8,1119.65,0.8
Barley,2018,Rabi       ,Uttarakhand,18926.0,27023.0,1373.0,3069797.2,6624.1,1.43
Garlic,2018,Whole Year ,Uttarakhand,4384.0,32761.0,1373.0,711084.8,1534.4,7.47
Gram,2018,Rabi       ,Uttarakhand,795.0,646.0,1373.0,128949.0,278.25,0.81
Groundnut,2018,Kharif     ,Uttarakhand,709.0,735.0,1373.0,114999.8,248.15,1.04
Horse-gram,2018,Kharif     ,Uttarakhand,12898.0,11419.0,1373.0,2092055.6,4514.3,0.89
Linseed,2018,Rabi       ,Uttarakhand,13.0,13.0,1373.0,2108.6,4.55,1.0
Maize,2018,Kharif     ,Uttarakhand,21266.0,40107.0,1373.0,3449345.2,7443.1,1.89
Maize,2018,Summer     ,Uttarakhand,118.0,166.0,1373.0,19139.6,41.3,1.41
Masoor,2018,Rabi       ,Uttarakhand,8981.0,7891.0,1373.0,1456718.2,3143.35,0.88
Moong(Green Gram),2018,Kharif     ,Uttarakhand,1.0,1.0,1373.0,162.2,0.35,1.0
Moth,2018,Kharif     ,Uttarakhand,20.0,9.0,1373.0,3244.0,7.0,0.45
Onion,2018,Whole Year ,Uttarakhand,3345.0,53748.0,1373.0,542559.0,1170.75,16.07
Other  Rabi pulses,2018,Rabi       ,Uttarakhand,5.0,3.0,1373.0,811.0,1.75,0.6
Other Cereals,2018,Kharif     ,Uttarakhand,768.0,407.0,1373.0,124569.6,268.8,0.53
Other Cereals,2018,Rabi       ,Uttarakhand,755.0,568.0,1373.0,122461.0,264.25,0.75
Other Kharif pulses,2018,Kharif     ,Uttarakhand,14373.0,15537.0,1373.0,2331300.6,5030.55,1.08
Other Summer Pulses,2018,Summer     ,Uttarakhand,3.0,2.0,1373.0,486.6,1.05,0.67
Peas & beans (Pulses),2018,Rabi       ,Uttarakhand,5552.0,5551.0,1373.0,900534.4,1943.2,1.0
Potato,2018,Kharif     ,Uttarakhand,6970.0,69123.0,1373.0,1130534.0,2439.5,9.92
Potato,2018,Rabi       ,Uttarakhand,4955.0,60075.0,1373.0,803701.0,1734.25,12.12
Ragi,2018,Kharif     ,Uttarakhand,94004.0,114457.0,1373.0,15247448.8,32901.4,1.22
Rapeseed &Mustard,2018,Rabi       ,Uttarakhand,13144.0,12258.0,1373.0,2131956.8,4600.4,0.93
Rice,2018,Kharif     ,Uttarakhand,243666.0,574963.0,1373.0,39522625.2,85283.1,2.36
Rice,2018,Summer     ,Uttarakhand,15682.0,51570.0,1373.0,2543620.4,5488.7,3.29
Sesamum,2018,Kharif     ,Uttarakhand,1848.0,550.0,1373.0,299745.6,646.8,0.3
Small millets,2018,Kharif     ,Uttarakhand,53829.0,68899.0,1373.0,8731063.8,18840.15,1.28
Soyabean,2018,Kharif     ,Uttarakhand,9054.0,9681.0,1373.0,1468558.8,3168.9,1.07
Sugarcane,2018,Whole Year ,Uttarakhand,92863.0,6459016.0,1373.0,15062378.6,32502.05,69.55
Sunflower,2018,Kharif     ,Uttarakhand,5.0,3.0,1373.0,811.0,1.75,0.6
Sunflower,2018,Summer     ,Uttarakhand,3.0,3.0,1373.0,486.6,1.05,1.0
Tobacco,2018,Whole Year ,Uttarakhand,1.0,2.0,1373.0,162.2,0.35,2.0
Turmeric,2018,Whole Year ,Uttarakhand,1308.0,4092.0,1373.0,212157.6,457.8,3.13
Urad,2018,Kharif     ,Uttarakhand,12491.0,10727.0,1373.0,2026040.2,4371.85,0.86
Urad,2018,Summer     ,Uttarakhand,49.0,32.0,1373.0,7947.8,17.15,0.65
Wheat,2018,Rabi       ,Uttarakhand,307452.0,927657.0,1373.0,49868714.4,107608.2,3.02
other oilseeds,2018,Kharif     ,Uttarakhand,17.0,16.0,1373.0,2757.4,5.95,0.94
other oilseeds,2018,Rabi       ,Uttarakhand,8.0,5.0,1373.0,1297.6,2.8,0.62
Arhar/Tur,2019,Kharif     ,Uttarakhand,3182.0,2735.0,1378.9,546540.32,1177.34,0.86
Barley,2019,Rabi       ,Uttarakhand,20117.0,28539.0,1378.9,3455295.92,7443.29,1.42
Garlic,2019,Whole Year ,Uttarakhand,4600.0,34716.0,1378.9,790096.0,1702.0,7.55
Gram,2019,Rabi       ,Uttarakhand,722.0,547.0,1378.9,124010.72,267.14,0.76
Groundnut,2019,Kharif     ,Uttarakhand,669.0,706.0,1378.9,114907.44,247.53,1.06
Horse-gram,2019,Kharif     ,Uttarakhand,13223.0,12194.0,1378.9,2271182.48,4892.51,0.92
Maize,2019,Kharif     ,Uttarakhand,21193.0,40823.0,1378.9,3640109.68,7841.41,1.93
Maize,2019,Summer     ,Uttarakhand,362.0,491.0,1378.9,62177.12,133.94,1.36
Masoor,2019,Rabi       ,Uttarakhand,10246.0,10405.0,1378.9,1759852.96,3791.02,1.02
Moong(Green Gram),2019,Kharif     ,Uttarakhand,2.0,2.0,1378.9,343.52,0.74,1.0
Moong(Green Gram),2019,Summer     ,Uttarakhand,10.0,6.0,1378.9,1717.6,3.7,0.6
Moth,2019,Kharif     ,Uttarakhand,9.0,5.0,1378.9,1545.84,3.33,0.56
Onion,2019,Whole Year ,Uttarakhand,3474.0,56216.0,1378.9,596694.24,1285.38,16.18
Other  Rabi pulses,2019,Rabi       ,Uttarakhand,51.0,42.0,1378.9,8759.76,18.87,0.82
Other Cereals,2019,Kharif     ,Uttarakhand,777.0,789.0,1378.9,133457.52,287.49,1.02
Other Cereals,2019,Rabi       ,Uttarakhand,371.0,297.0,1378.9,63722.96,137.27,0.8
Other Kharif pulses,2019,Kharif     ,Uttarakhand,14318.0,14866.0,1378.9,2459259.68,5297.66,1.04
Peas & beans (Pulses),2019,Rabi       ,Uttarakhand,5903.0,5153.0,1378.9,1013899.28,2184.11,0.87
Potato,2019,Kharif     ,Uttarakhand,8156.0,86509.0,1378.9,1400874.56,3017.72,10.61
Potato,2019,Rabi       ,Uttarakhand,6411.0,76031.0,1378.9,1101153.36,2372.07,11.86
Ragi,2019,Kharif     ,Uttarakhand,91584.0,129994.0,1378.9,15730467.84,33886.08,1.42
Rapeseed &Mustard,2019,Rabi       ,Uttarakhand,12639.0,12472.0,1378.9,2170874.64,4676.43,0.99
Rice,2019,Kharif     ,Uttarakhand,240411.0,615514.0,1378.9,41292993.36,88952.07,2.56
Rice,2019,Summer     ,Uttarakhand,17370.0,61915.0,1378.9,2983471.2,6426.9,3.56
Sesamum,2019,Kharif     ,Uttarakhand,2052.0,620.0,1378.9,352451.52,759.24,0.3
Small millets,2019,Kharif     ,Uttarakhand,50305.0,67967.0,1378.9,8640386.8,18612.85,1.35
Soyabean,2019,Kharif     ,Uttarakhand,8003.0,8838.0,1378.9,1374595.28,2961.11,1.1
Sugarcane,2019,Whole Year ,Uttarakhand,90688.0,6838266.0,1378.9,15576570.88,33554.56,75.4
Sunflower,2019,Kharif     ,Uttarakhand,28.0,17.0,1378.9,4809.28,10.36,0.61
Tobacco,2019,Whole Year ,Uttarakhand,3.0,6.0,1378.9,515.28,1.11,2.0
Turmeric,2019,Whole Year ,Uttarakhand,1313.0,4270.0,1378.9,225520.88,485.81,3.25
Urad,2019,Kharif     ,Uttarakhand,13173.0,12233.0,1378.9,2262594.48,4874.01,0.93
Urad,2019,Summer     ,Uttarakhand,69.0,72.0,1378.9,11851.44,25.53,1.04
Wheat,2019,Rabi       ,Uttarakhand,303283.0,887440.0,1378.9,52091888.08,112214.71,2.93
other oilseeds,2019,Kharif     ,Uttarakhand,12.0,9.0,1378.9,2061.12,4.44,0.75
other oilseeds,2019,Rabi       ,Uttarakhand,4.0,3.0,1378.9,687.04,1.48,0.75
Arhar/Tur,2020,Kharif     ,Uttarakhand,3327.0,3992.0,1313.947826,644140.47,1230.99,1.2
Barley,2020,Rabi       ,Uttarakhand,19280.0,24479.0,1313.947826,3732800.8,7133.6,1.27
Garlic,2020,Whole Year ,Uttarakhand,5345.0,39638.0,1313.947826,1034845.45,1977.65,7.42
Gram,2020,Rabi       ,Uttarakhand,728.0,558.0,1313.947826,140948.08,269.36,0.77
Groundnut,2020,Kharif     ,Uttarakhand,617.0,933.0,1313.947826,119457.37,228.29,1.51
Horse-gram,2020,Kharif     ,Uttarakhand,13149.0,12844.0,1313.947826,2545777.89,4865.13,0.98
Maize,2020,Kharif     ,Uttarakhand,19697.0,41108.0,1313.947826,3813536.17,7287.89,2.09
Maize,2020,Summer     ,Uttarakhand,198.0,430.0,1313.947826,38334.78,73.26,2.17
Masoor,2020,Rabi       ,Uttarakhand,9246.0,6998.0,1313.947826,1790118.06,3421.02,0.76
Moong(Green Gram),2020,Kharif     ,Uttarakhand,9.0,6.0,1313.947826,1742.49,3.33,0.67
Moong(Green Gram),2020,Summer     ,Uttarakhand,8.0,5.0,1313.947826,1548.88,2.96,0.62
Moth,2020,Kharif     ,Uttarakhand,42.0,24.0,1313.947826,8131.62,15.54,0.57
Onion,2020,Whole Year ,Uttarakhand,3590.0,49670.0,1313.947826,695059.9,1328.3,13.84
Other  Rabi pulses,2020,Rabi       ,Uttarakhand,32.0,21.0,1313.947826,6195.52,11.84,0.66
Other Cereals,2020,Kharif     ,Uttarakhand,623.0,350.0,1313.947826,120619.03,230.51,0.56
Other Cereals,2020,Rabi       ,Uttarakhand,411.0,333.0,1313.947826,79573.71,152.07,0.81
Other Kharif pulses,2020,Kharif     ,Uttarakhand,14208.0,15379.0,1313.947826,2750810.88,5256.96,1.08
Peas & beans (Pulses),2020,Rabi       ,Uttarakhand,4919.0,4135.0,1313.947826,952367.59,1820.03,0.84
Potato,2020,Kharif     ,Uttarakhand,6020.0,51902.0,1313.947826,1165532.2,2227.4,8.62
Potato,2020,Rabi       ,Uttarakhand,5427.0,62736.0,1313.947826,1050721.47,2007.99,11.56
Ragi,2020,Kharif     ,Uttarakhand,85427.0,125898.0,1313.947826,16539521.47,31607.99,1.47
Rapeseed &Mustard,2020,Rabi       ,Uttarakhand,13150.0,11853.0,1313.947826,2545971.5,4865.5,0.9
Rice,2020,Kharif     ,Uttarakhand,241936.0,669372.0,1313.947826,46841228.96,89516.32,2.77
Rice,2020,Summer     ,Uttarakhand,15315.0,55057.0,1313.947826,2965137.15,5666.55,3.59
Sesamum,2020,Kharif     ,Uttarakhand,2017.0,537.0,1313.947826,390511.37,746.29,0.27
Small millets,2020,Kharif     ,Uttarakhand,44769.0,65289.0,1313.947826,8667726.09,16564.53,1.46
Soyabean,2020,Kharif     ,Uttarakhand,7246.0,8800.0,1313.947826,1402898.06,2681.02,1.21
Sugarcane,2020,Whole Year ,Uttarakhand,90184.0,7970299.0,1313.947826,17460524.24,33368.08,88.38
Sunflower,2020,Kharif     ,Uttarakhand,3.0,2.0,1313.947826,580.83,1.11,0.67
Sunflower,2020,Summer     ,Uttarakhand,3.0,2.0,1313.947826,580.83,1.11,0.67
Tobacco,2020,Whole Year ,Uttarakhand,3.0,6.0,1313.947826,580.83,1.11,2.0
Turmeric,2020,Whole Year ,Uttarakhand,1299.0,4186.0,1313.947826,251499.39,480.63,3.22
Urad,2020,Kharif     ,Uttarakhand,12398.0,13282.0,1313.947826,2400376.78,4587.26,1.07
Urad,2020,Summer     ,Uttarakhand,58.0,69.0,1313.947826,11229.38,21.46,1.19
Wheat,2020,Rabi       ,Uttarakhand,297189.0,937003.0,1313.947826,57538762.29,109959.93,3.15
other oilseeds,2020,Kharif     ,Uttarakhand,13.0,9.0,1313.947826,2516.93,4.81,0.69
other oilseeds,2020,Rabi       ,Uttarakhand,30.0,21.0,1313.947826,5808.3,11.1,0.7
Rice,2021,Kharif,Uttarakhand,221300.0,647200.0,1533.2,148600000.0,150000.0,2.92
Wheat,2021,Rabi,Uttarakhand,341200.0,808300.0,1533.2,148600000.0,150000.0,2.37
Maize,2021,Kharif,Uttarakhand,18200.0,33500.0,1533.2,148600000.0,150000.0,1.84
Gram,2021,Rabi,Uttarakhand,600.0,500.0,1533.2,148600000.0,150000.0,0.83
Arhar/Tur,2021,Kharif,Uttarakhand,1100.0,700.0,1533.2,148600000.0,150000.0,0.64
Sugarcane,2021,Whole Year,Uttarakhand,84400.0,6160000.0,1533.2,148600000.0,150000.0,72.99
Oilseeds,2021,Rabi,Uttarakhand,23079.0,22157.0,1533.2,148600000.0,150000.0,0.96
Rice,2022,Kharif,Uttarakhand,216700.0,641500.0,1207.9,152300000.0,155000.0,2.96
Wheat,2022,Rabi,Uttarakhand,341000.0,821600.0,1207.9,152300000.0,155000.0,2.41
Maize,2022,Kharif,Uttarakhand,18000.0,35100.0,1207.9,152300000.0,155000.0,1.95
Gram,2022,Rabi,Uttarakhand,600.0,500.0,1207.9,152300000.0,155000.0,0.83
Arhar/Tur,2022,Kharif,Uttarakhand,900.0,700.0,1207.9,152300000.0,155000.0,0.78
Sugarcane,2022,Whole Year,Uttarakhand,86600.0,6512300.0,1207.9,152300000.0,155000.0,75.2
Oilseeds,2022,Rabi,Uttarakhand,26510.0,25789.0,1207.9,152300000.0,155000.0,0.97
Rice,2023,Kharif,Uttarakhand,212195.6168097605,635850.2008652657,1237.4935500000001,156031350.0,158797.5,3.0
Wheat,2023,Rabi,Uttarakhand,340800.11723329424,835118.8420141037,1237.4935500000001,156031350.0,158797.5,2.45
Maize,2023,Kharif,Uttarakhand,17802.197802197803,36776.417910447766,1237.4935500000001,156031350.0,158797.5,2.07
Gram,2023,Rabi,Uttarakhand,600.0,500.0,1237.4935500000001,156031350.0,158797.5,0.83
Arhar/Tur,2023,Kharif,Uttarakhand,736.3636363636363,700.0,1237.4935500000001,156031350.0,158797.5,0.95
Sugarcane,2023,Whole Year,Uttarakhand,88857.34597156398,6884748.586038962,1237.4935500000001,156031350.0,158797.5,77.48
Oilseeds,2023,Rabi,Uttarakhand,30451.06373759695,30016.361465902424,1237.4935500000001,156031350.0,158797.5,0.99
